weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
1,1.52317E-02,4.00000E-03,5.50E+01,1.00E-01,1.95690E+07,0.354,1118000000,0.0,0.2,54,62,0.0
1,1.21981E-02,4.00000E-03,5.70E+01,1.00E-01,1.56720E+07,,,0.0,140000000,54,62,0,2
1,8.90909E-03,8.00000E-04,6.00E+01,1.00E-01,1.14460E+07,,,,,,,0.4
1,7.21668E-03,8.00000E-04,6.30E+01,1.00E-01,9.27180E+06,,,,,,,0.4
1,5.62007E-03,8.00000E-05,6.50E+01,1.00E-01,7.22050E+06,,,,,,,0.4
1,2.94607E-03,8.00000E-05,7.00E+01,1.00E-01,3.78500E+06,,,,,,,
1,2.45683E-03,8.00000E-05,7.50E+01,1.00E-01,3.15650E+06,,,,,,,
1,2.66450E-03,8.00000E-05,7.75E+01,1.00E-01,3.42330E+06,,,,,,,
1,5.39655E-03,8.00000E-05,8.00E+01,1.00E-01,6.93330E+06,,,,,,,
0.4535,1.04099E-02,8.00000E-04,8.30E+01,1.00E-01,1.33740E+07,,,,,,,
0,1.83930E-02,8.00000E-04,8.50E+01,1.00E-01,2.36310E+07,,,,,,,
0,2.49391E-02,8.00000E-04,8.65E+01,1.00E-01,3.20410E+07,,,,,,,
0,2.67592E-02,4.00000E-03,8.80E+01,1.00E-01,3.43790E+07,,,,,,,
0,3.21877E-02,4.00000E-03,8.90E+01,1.00E-01,4.13540E+07,,,,,,,
