weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
0,3.09179E-02,9.27536E-04,2.00E+01,1.00E-01,1.61800E+08,0.577,5.49E9,0,0.015,54,81,0.00E+00
0,3.05050E-02,9.15151E-04,2.50E+01,1.00E-01,1.59600E+08,,,0,80000000,54,81,0.004
0,2.94653E-02,8.83958E-04,3.00E+01,1.00E-01,1.54200E+08,,,,,,,0.008
0,3.04592E-02,9.13775E-04,3.50E+01,1.00E-01,1.59400E+08,,,,,,,0.012
0,2.89683E-02,8.69049E-04,4.00E+01,1.00E-01,1.51600E+08,,,,,,,
0,2.95608E-02,8.86825E-04,4.50E+01,1.00E-01,1.54700E+08,,,,,,,
0,2.82802E-02,8.48407E-04,5.00E+01,1.00E-01,1.47900E+08,,,,,,,
0.5,9.19000E-03,1.11900E-04,5.50E+01,1.00E-01,5.04900E+07,,,,,,,
1,8.00780E-03,1.11900E-04,6.00E+01,1.00E-01,4.39900E+07,,,,,,,
1,7.87364E-03,1.12120E-04,6.50E+01,1.00E-01,4.32600E+07,,,,,,,
1,7.74440E-03,1.35700E-04,7.00E+01,1.00E-01,4.25500E+07,,,,,,,
1,6.92678E-03,2.03300E-04,7.25E+01,1.00E-01,3.80580E+07,,,,,,,
1,6.92638E-03,2.03300E-04,7.50E+01,1.00E-01,3.80560E+07,,,,,,,
1,5.49543E-03,3.88800E-04,7.75E+01,1.00E-01,3.01890E+07,,,,,,,
1,4.70671E-03,4.92900E-04,8.00E+01,1.00E-01,2.58600E+07,,,,,,,
