weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
1,1.52000E-01,9.27536E-04,3.80E+01,1.00E-01,1.18900E+08,0.0669,5.49E8,0.00,0.2,36.00,66.00,0.00
1,1.24200E-01,9.15151E-04,4.00E+01,1.00E-01,9.72300E+07,,,0.00,140000000,36.00,66.00,0.2
1,1.07800E-01,8.83958E-04,4.20E+01,1.00E-01,8.43600E+07,,,,,,,0.4
1,1.00800E-01,9.13775E-04,4.40E+01,1.00E-01,7.88900E+07,,,,,,,0.6
1,8.46000E-02,8.69049E-04,4.80E+01,1.00E-01,6.61600E+07,,,,,,,0.8
1,6.65000E-02,8.86825E-04,5.20E+01,1.00E-01,5.20500E+07,,,,,,,1.00
1,5.36000E-02,8.48407E-04,5.70E+01,1.00E-01,4.19600E+07,,,,,,,
1,4.67000E-02,1.11900E-04,6.00E+01,1.00E-01,3.65500E+07,,,,,,,
1,3.68000E-02,1.11900E-04,6.30E+01,1.00E-01,2.88200E+07,,,,,,,
1,2.04000E-02,1.12120E-04,6.50E+01,1.00E-01,1.59800E+07,,,,,,,

