;Start wavelength (nm)         190
;End wavelength (nm)           200
;Wavelength step (nm)          0.5
;Num. of completed scans       1
;Num. of points                21
;Num. of avg. per point        15/ cRio 100 ms
;Time between reads            2.6945
;UnduPos Start/End             25.95/25.95
;Table pos                     -300.0
;n/a                           ###
;Grating                       HEG
;  Comments:
;  Sample: Ammonia Depos5  T25=K
;  110-220 0.5nm 15av 1sc PDVacON
;  Slits100/100 Table -300kstp PPM207deg
;Lambda        Keith/nA        Ch1/volts       Ch2/volts       Ch3/volts       Z_Motor         Beam_current    temperature     GC_Pres         Time            UBX_x           UBX_y
190.000        1.38906         -0.00054        0.00060         -0.00010        4.0046          179.5550        -50.16          0.000           18:03:12         0.001374        0.000698 
190.500        1.38039         -0.00054        0.00060         -0.00010        4.1103          179.5000        -50.16          0.000           18:03:14         0.00139         0.000826 
191.000        1.36830         -0.00054        0.00060         -0.00010        4.2160          179.4267        -50.16          0.000           18:03:17         0.00137         0.000701 
191.500        1.34887         -0.00054        0.00060         -0.00010        4.3217          179.3625        -50.16          0.000           18:03:19         0.001244        0.00074 
192.000        1.32305         -0.00054        0.00060         -0.00010        4.4274          179.3075        -50.12          0.000           18:03:22         0.000926        0.00074 
192.500        1.30981         -0.00054        0.00060         0.00000         4.5331          182.5518        -50.16          0.000           18:03:31         0.001639        0.000476 
193.000        1.26963         -0.00054        0.00060         -0.00010        4.6389          182.4877        -50.16          0.000           18:03:33         0.001247        0.000476 
193.500        1.24468         -0.00054        0.00060         -0.00010        4.7447          182.4144        -50.12          0.000           18:03:36         0.001346        0.000494 
194.000        1.25880         -0.00054        0.00060         -0.00010        4.8505          182.3594        -50.16          0.000           18:03:38         0.001351        0.000398 
194.500        1.32394         -0.00054        0.00060         -0.00010        4.9563          182.2952        -50.16          0.000           18:03:41         0.001401        0.000561 
195.000        1.41512         -0.00054        0.00060         -0.00010        5.0621          182.2219        -50.16          0.000           18:03:43         0.001316        0.00054 
195.500        1.49374         -0.00054        0.00060         -0.00010        5.1679          182.1669        -50.12          0.000           18:03:46         0.001412        0.000502 
196.000        1.55322         -0.00054        0.00060         -0.00010        5.2738          182.0936        -50.16          0.000           18:03:48         0.001289        0.000491 
196.500        1.59376         -0.00054        0.00060         -0.00010        5.3797          182.0294        -50.16          0.000           18:03:51         0.001385        0.000368 
197.000        1.62051         -0.00054        0.00060         -0.00010        5.4856          181.9745        -50.16          0.000           18:03:53         0.001287        0.000505 
197.500        1.63959         -0.00054        0.00060         -0.00010        5.5915          181.9103        -50.12          0.000           18:03:56         0.001293        0.000443 
198.000        1.65251         -0.00054        0.00060         -0.00010        5.6974          181.8370        -50.16          0.000           18:03:59         0.001293        0.000414 
198.500        1.65995         -0.00054        0.00060         -0.00010        5.8033          181.7728        -50.16          0.000           18:04:01         0.001291        0.000564 
199.000        1.66606         -0.00053        0.00060         -0.00010        5.9093          181.7087        -50.12          0.000           18:04:04         0.001291        0.000504 
199.500        1.66879         -0.00054        0.00060         -0.00010        6.0153          181.6537        -50.16          0.000           18:04:06         0.001293        0.000504 
200.000        1.67429         -0.00054        0.00060         -0.00010        6.1213          181.5895        -50.16          0.000           18:04:09         0.001436        0.00052 
